variableMeasured,ADDED,DELETED,MODIFIED
dcid:InterestRate_TreasuryBill_3Month,0,2,0
dcid:InterestRate_TreasuryBond_20Year,0,0,2
dcid:InterestRate_TreasuryNote_10Year,0,0,2
